NAME	DESCRIPTION	NI_V_1	NI_V_2	NI_V_3	NI_V_4	NI_V_5	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5
ENSMUSG00000049807	NA	82.5210304	120.5572383	61.85546721	8.412696486	35.55578464	84.39529564	44.12463303	35.78513227	51.09606534	56.52526267
ENSMUSG00000049811	NA	13.85819578	14.97779494	2.921361157	8.378766616	21.03685747	14.98991699	3.13628222	7.292311751	9.232978239	16.62215945
ENSMUSG00000049823	NA	36.24859287	35.33007027	35.45725262	10.93146997	22.35411465	42.76698703	26.90045784	49.1302147	33.90552974	65.24456985
ENSMUSG00000049832	NA	25.78400716	18.27788208	29.04950238	57.81277128	53.03223283	36.62387127	49.33281526	64.39942253	48.37715186	33.5670072
ENSMUSG00000049848	NA	0	0	1.945370719	1.028400429	0	13.41272839	19.37140897	7.655268987	4.552096073	11.65056624
ENSMUSG00000049858	NA	4766.39726	5711.371825	4838.563759	6574.946487	4448.312974	2217.118323	3760.259135	3051.56338	2956.987087	2615.431155
ENSMUSG00000049871	NA	42.32497376	26.73176491	46.03025204	42.57115689	17.78744054	23.70126119	35.27433213	28.76181286	40.18342192	27.15630458
ENSMUSG00000049872	NA	46.10094729	52.35344091	20.29406178	28.87370446	20.29767879	22.94207602	20.72270555	35.64237699	38.80011763	22.14866802
ENSMUSG00000049878	NA	230.8809966	170.1140707	218.0626732	157.5507069	212.133688	318.6923141	251.6046445	236.7131105	206.9411158	270.2853568
ENSMUSG00000049881	NA	87.80119066	76.79088543	46.9745648	66.52628859	78.44539243	68.46399495	43.16345913	65.81796501	72.57823812	65.07605076
ENSMUSG00000049882	NA	97.18555964	87.76765684	129.674334	251.6006496	111.9324534	65.89080974	125.266479	138.8239812	130.3146544	82.82327805
ENSMUSG00000049892	NA	12.66705175	33.59303892	15.48335404	31.68898442	5.229287325	32.12346844	26.20058969	30.05273651	20.00953095	22.66722847
ENSMUSG00000049897	NA	5.884096804	0.770132467	0	1.472100812	0.740384687	0	0.767122409	0.765230531	1.597047068	0
ENSMUSG00000049904	NA	9.174068272	10.80981626	9.612589762	8.355377366	3.178562596	7.664153547	13.93379559	9.86305995	3.439171809	15.76227639
ENSMUSG00000049907	NA	42.1190846	75.07390756	26.21282154	24.82168933	49.98662989	24.26367372	13.97560225	19.94688221	31.34625291	40.20416202
ENSMUSG00000049916	NA	29.79966445	23.04170062	20.45803057	3.222488345	4.216287835	21.21900901	16.43696116	20.51860585	0	19.97095569
ENSMUSG00000049922	NA	1070.926942	1183.131437	1232.136174	680.9415102	1091.001871	1163.218584	864.0507041	1024.253566	771.7222952	1137.37394
ENSMUSG00000049928	NA	138.072886	229.997377	73.21456107	96.00393604	63.85276436	143.7551655	104.7125302	95.62927316	79.10326148	118.0138326
ENSMUSG00000049929	NA	3.671629718	8.891106905	1.927065444	3.96798957	1.091327918	0.71824917	1.9847965	2.237006851	3.29156441	7.553635107
ENSMUSG00000049932	NA	615.9495938	479.4453784	447.5919437	693.9883472	503.3026897	517.8921639	471.3524746	517.0921049	604.8504041	447.7020691
ENSMUSG00000049939	NA	4.263387127	6.538276035	3.880820856	1.033301917	0	16.03162668	28.11156092	15.3732831	14.79398406	10.31744037
ENSMUSG00000049940	NA	383.424571	473.6764684	442.9916356	327.5471881	561.5559473	488.3410847	321.5305042	516.3864532	334.0851021	537.0982153
ENSMUSG00000049950	NA	35.42391755	37.20725268	48.03377212	109.9508179	45.94025869	43.23634475	36.23968674	47.66031636	60.14571904	28.15951032
ENSMUSG00000049957	NA	109.019403	79.32713046	188.5851678	215.7015831	179.7933926	60.38276109	288.3248436	92.15071342	198.100031	168.7911566
ENSMUSG00000049960	NA	16.27901201	13.57405225	17.25290443	47.19988096	22.56993198	14.79027956	21.62410243	24.53910618	26.12270915	10.61569069
ENSMUSG00000049969	NA	919.2785553	929.7007115	1063.165001	1593.654825	1373.363579	699.0870049	943.8459219	1119.114159	1064.450027	837.4720502
ENSMUSG00000049971	NA	84.86280708	4.868866537	56.3345926	8.128453957	13.18373217	13.72211322	10.54354039	63.78086192	7.039002292	52.49820156
ENSMUSG00000049985	NA	2.188982414	5.58309334	3.922245926	2.124066773	3.22352857	2.828381704	13.11905504	6.618115476	5.881287553	5.249370566
ENSMUSG00000049988	NA	32.83121156	23.64680019	25.29539712	28.96862409	14.95829323	133.8758373	169.08762	124.5384533	91.34181939	76.51681493
ENSMUSG00000049999	NA	12.69608703	31.37785171	11.58307498	9.386282422	6.383207562	31.54657631	51.08045191	20.87686358	28.74887787	27.28170063
ENSMUSG00000050002	NA	200.7534514	279.6346874	318.4930512	576.2128985	259.5932789	222.6335516	330.5246748	425.2846069	464.3227474	208.1041965
ENSMUSG00000050010	NA	24.472171	2.143331063	4.848951402	5.05171626	2.125523447	26.80227413	46.3196148	9.9633819	18.05201509	26.84875742
ENSMUSG00000050014	NA	85.4781516	61.23128974	106.6842058	78.03997364	82.81706402	90.38983861	49.89364682	117.5892829	87.13418969	73.00252403
ENSMUSG00000050017	NA	270.4352801	341.1809974	303.8500405	459.029635	353.4995968	402.6547269	452.0068448	394.4486205	355.8441089	284.9394001
ENSMUSG00000050022	NA	28.32394169	27.96400269	46.73279199	45.44098357	23.35077755	104.8254552	186.5921276	123.1597971	102.806227	51.81932632
ENSMUSG00000050029	NA	959.2352178	1040.123621	1336.496086	1880.087621	1153.932159	1044.680097	1178.473896	1494.884799	992.4831386	991.1464039
ENSMUSG00000050043	NA	661.5499783	591.7423668	751.970177	844.899533	843.6990051	576.4569832	641.1299723	704.0598525	601.1740751	614.1815777
ENSMUSG00000050050	NA	6.627744257	4.1761913	4.788238567	1.007404017	3.227031133	6.541581643	3.062623848	10.01224809	6.637686218	13.72453999
ENSMUSG00000050052	NA	23.10227683	55.60050613	17.76221062	22.82911372	6.851741579	10.42833859	26.30466305	6.061577277	5.247751463	16.11835334
ENSMUSG00000050064	NA	4.095146648	6.944532879	6.501344975	4.941374201	3.404239394	9.997840884	6.191366603	4.636810719	10.99628577	8.733597621
ENSMUSG00000050069	NA	173.1643386	221.4941864	113.991562	57.4973042	98.8671862	137.1224113	49.4191285	58.20635926	65.60442997	205.8919196
ENSMUSG00000050071	NA	120.6514786	115.020535	72.08070329	85.32613369	115.000715	63.72742045	74.87063635	65.3583963	107.3403409	73.24541572
ENSMUSG00000050075	NA	41.24379985	16.18833888	37.16829132	82.6087203	14.06196769	59.77156309	67.85854637	62.75441305	86.14267906	46.58492867
ENSMUSG00000050079	NA	118.9230413	58.57729522	215.1675042	160.8281905	174.5715628	84.45994317	74.06183106	105.0606597	41.71707411	143.5876992
