"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","59/1549","315/15743",8.88738985596599e-07,4.41137714668857e-05,3.97168522749868e-05,"Timp1/Cstb/Fbln1/Ctsd/Adamtsl4/Ctsz/Dcn/Ntn4/Timp3/Ntn1/Coch/Ctsl/Col14a1/Serping1/Vegfa/Lama3/Anxa1/Col5a2/Lamc2/Lamb3/Prg2/Anxa5/S100a11/Sparcl1/Anxa3/Col1a2/Pcsk6/Bgn/Sfrp1/Plscr1/Lama1/Tnxb/Fam20b/Tgfbi/Igfbp7/Lum/Serpine1/Spon1/Itln1/Npnt/Lad1/Lman1/Vwa1/Cilp/Mfap4/Muc1/Serpinb1a/Serpinb9/Igf2/Col8a2/Col13a1/Col23a1/Serpinh1/Reg3b/Ang/Sod3/Col22a1/Muc4/Col6a5",59
"GO:0098858","GO:0098858","actin-based cell projection","41/1549","192/15743",1.39425013833821e-06,6.34383812943885e-05,5.7115334614381e-05,"Kcnn3/Calb2/Cd44/Eps8/Slc9a3r1/Ctsl/Iqgap2/Lcp1/Fgd4/Cxadr/Fabp2/Slc10a2/Twf2/Clic5/Myo1a/Cdhr5/Vil1/Itgav/Vcam1/Mttp/Pdpn/Prom1/Fscn1/Ocm/Vasp/Ttyh1/Fgf13/Msn/Mtm1/Bbs2/Slc26a2/Cdhr2/Clic4/Pdzk1/Kcnj10/Fzd9/Ezr/Slc27a4/Syne2/Lyz1/Muc4",41
"GO:0031528","GO:0031528","microvillus membrane","10/1549","18/15743",1.72442509916704e-06,7.24258541650156e-05,6.52070057741706e-05,"Slc9a3r1/Cdhr5/Itgav/Mttp/Pdpn/Slc26a2/Cdhr2/Pdzk1/Ezr/Muc4",10
"GO:0045121","GO:0045121","membrane raft","59/1549","342/15743",1.30143576532937e-05,0.000507559948478454,0.000456970302563019,"Rgs19/Lipe/Aqp1/Cav1/Ctsd/Sulf1/Slc2a4/Arid3a/Egfr/Adcy3/Slc9a3r1/Pld2/Slc6a4/Ednrb/Cxadr/Tnf/Sorbs1/Myo1a/Ptprc/Cd55/Rgs16/Capn2/Atp1b1/Traf2/Sis/Mme/Tlr2/Bcl10/Pdpn/Tnfrsf1b/Lrp8/Slc2a1/Prkcz/Stx2/Gpm6b/Erlin2/Slc25a4/Birc3/Plscr1/Ptgs2/Atp1a1/Plvap/Hpse/Hk1/Icam1/Itln1/Pdzk1/Tlr4/Tlr1/Cavin2/Cd14/Tlr6/Cd177/Ezr/Kcnq3/Adtrp/Nfam1/Kdr/Serpinh1",59
"GO:0098857","GO:0098857","membrane microdomain","59/1549","343/15743",1.42462404802344e-05,0.000518563153480531,0.000466876793282067,"Rgs19/Lipe/Aqp1/Cav1/Ctsd/Sulf1/Slc2a4/Arid3a/Egfr/Adcy3/Slc9a3r1/Pld2/Slc6a4/Ednrb/Cxadr/Tnf/Sorbs1/Myo1a/Ptprc/Cd55/Rgs16/Capn2/Atp1b1/Traf2/Sis/Mme/Tlr2/Bcl10/Pdpn/Tnfrsf1b/Lrp8/Slc2a1/Prkcz/Stx2/Gpm6b/Erlin2/Slc25a4/Birc3/Plscr1/Ptgs2/Atp1a1/Plvap/Hpse/Hk1/Icam1/Itln1/Pdzk1/Tlr4/Tlr1/Cavin2/Cd14/Tlr6/Cd177/Ezr/Kcnq3/Adtrp/Nfam1/Kdr/Serpinh1",59
"GO:0043235","GO:0043235","receptor complex","60/1549","353/15743",1.75336997738547e-05,0.000598337504782792,0.000538699854894088,"Itga5/Axl/Ebi3/Cd44/Prlr/Insrr/Mertk/Itga2/Eps8/Rxra/Egfr/Syk/Gfra2/Abcg8/Sorbs1/Sacm1l/Abhd6/Itgb8/Il18rap/Itga8/Apbb1ip/Acvr1c/Traf2/Itgav/Tlr2/Mttp/Epha7/Lrp8/Csf3r/Flt1/Epha1/Plxnd1/Olr1/Itpr2/Il4ra/Itgax/Itgal/Il13ra2/Nr3c2/Mst1r/Gpr160/Itln1/Tlr4/Abcg5/Npnt/Flt3/Trpv3/Tlr1/Gprc5a/Cd14/Tlr6/Acvr2a/Ticam2/Ifnlr1/Kdr/Gpr84/Htra2/Plxnc1/Synj2bp/Kctd12",60
"GO:0098589","GO:0098589","membrane region","59/1549","351/15743",2.87530911321915e-05,0.000923481632833914,0.000831436133667704,"Rgs19/Lipe/Aqp1/Cav1/Ctsd/Sulf1/Slc2a4/Arid3a/Egfr/Adcy3/Slc9a3r1/Pld2/Slc6a4/Ednrb/Cxadr/Tnf/Sorbs1/Myo1a/Ptprc/Cd55/Rgs16/Capn2/Atp1b1/Traf2/Sis/Mme/Tlr2/Bcl10/Pdpn/Tnfrsf1b/Lrp8/Slc2a1/Prkcz/Stx2/Gpm6b/Erlin2/Slc25a4/Birc3/Plscr1/Ptgs2/Atp1a1/Plvap/Hpse/Hk1/Icam1/Itln1/Pdzk1/Tlr4/Tlr1/Cavin2/Cd14/Tlr6/Cd177/Ezr/Kcnq3/Adtrp/Nfam1/Kdr/Serpinh1",59
"GO:0031225","GO:0031225","anchored component of membrane","33/1549","160/15743",3.05819776884487e-05,0.000927653323216278,0.000835192022251787,"Cp/Dpep1/Rab4a/Vnn3/Cpm/Rab3c/Rgs7bp/Gfra2/Ly6c2/Ly6i/Ly6e/Meltf/Mmp25/Alppl2/Cd55/Prnd/Vcam1/Efna3/Bst1/Treh/Nt5e/Ly6d/Ntng2/Xpnpep2/Itln1/Sema7a/Bst2/Prss27/Cd14/Cd59b/Svip/Ly6c1/Rhbg",33
"GO:0043230","GO:0043230","extracellular organelle","22/1549","92/15743",6.40733528973968e-05,0.0018412658253673,0.00165774270377198,"Aqp1/Slc2a4/Rab4a/Ace/Anxa1/Cubn/Sord/Gbp3/Gbp2/Prom1/Aoc1/Cd9/Aldoa/Tmem98/Xpnpep2/Icam1/Serpine1/Anpep/Gbp2b/Gprc5a/Phospho1/Iigp1",22
"GO:0005777","GO:0005777","peroxisome","29/1549","139/15743",7.28029140365173e-05,0.00186687569930455,0.0016807999837579,"Mvd/Cav1/Acaa1b/Tysnd1/Acsl6/Acox1/Eci3/Acox2/Ephx2/Amacr/Ehhadh/Nudt12/Isoc1/Vim/Cat/Abcd3/Uox/Idh2/Pex11a/Far1/Abcd1/Acsl3/Rab8b/Mavs/Baat/Lacc1/Acot4/Acnat1/Acad11",29
