"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002274","GO:0002274","myeloid leukocyte activation","7/119","206/15991",0.000881625263716119,0.0282264613120915,0.025345775484919,"Cd48/Btk/Slc7a2/Milr1/Tlr7/Fcgr4/Cnr2",7
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","5/119","108/15991",0.00127031344850346,0.040014873627859,0.0359311070493508,"Tnfsf14/Cxcl14/Sell/Bst1/Ccr7",5
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","3/119","30/15991",0.00140889867310374,0.0436758588662159,0.0392184659881508,"Fcgr1/Btk/Ccr7",3
"GO:0045576","GO:0045576","mast cell activation","4/119","66/15991",0.00147242726560771,0.0443172772359537,0.0397944236263233,"Cd48/Btk/Milr1/Cnr2",4
"GO:0002861","GO:0002861","regulation of inflammatory response to antigenic stimulus","3/119","31/15991",0.00155143776739772,0.0443172772359537,0.0397944236263233,"Fcgr1/Btk/Ccr7",3
"GO:0090022","GO:0090022","regulation of neutrophil chemotaxis","3/119","31/15991",0.00155143776739772,0.0443172772359537,0.0397944236263233,"Sell/Bst1/Ccr7",3
"GO:1990266","GO:1990266","neutrophil migration","5/119","113/15991",0.00155327598911482,0.0443172772359537,0.0397944236263233,"Sell/Bst1/Spp1/Ccr7/Prtn3",5
"GO:0042129","GO:0042129","regulation of T cell proliferation","6/119","167/15991",0.0015566470397872,0.0443172772359537,0.0397944236263233,"Il12rb1/Zap70/Il2ra/Coro1a/Ccr7/Cdkn2a",6
"GO:0052547","GO:0052547","regulation of peptidase activity","9/119","363/15991",0.00156574097761434,0.0443172772359537,0.0397944236263233,"Lck/Card9/Cdkn2a/Serpina1b/Wfdc3/Serpina3m/Serpina3j/Serpina3i/Bcl2a1d",9
"GO:0046626","GO:0046626","regulation of insulin receptor signaling pathway","4/119","69/15991",0.00173623565606341,0.0484409748041691,0.0434972722255885,"Sla2/Sesn3/Prkaa1/Gpr21",4
