"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005581","GO:0005581","collagen trimer","18/1718","72/15743",0.000568522590280976,0.0102156402941113,0.00899537387911676,"Dcn/Col14a1/C1qtnf6/Lox/Msr1/Col5a2/Marco/Col1a2/Scara3/Lum/C1qa/C1qc/C1qb/Colec10/Col8a2/Col13a1/Col23a1/Col6a5",18
"GO:1903561","GO:1903561","extracellular vesicle","19/1718","79/15743",0.000679497755816995,0.011839733624084,0.010425467960063,"Aqp1/Slc2a4/Rab4a/Ace/Cd86/Anxa1/Cubn/Sord/Prom1/Aoc1/Cd9/Aldoa/Tmem98/Xpnpep2/Icam1/Serpine1/Anpep/Gprc5a/Cd47",19
"GO:0033643","GO:0033643","host cell part","8/1718","20/15743",0.000745009749447932,0.0125994295862518,0.0110944176310977,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",8
"GO:0030175","GO:0030175","filopodium","20/1718","89/15743",0.00123980963304751,0.0203683011143519,0.017935291232958,"Kcnn3/Myo1g/Iqgap2/Lcp1/Fgd4/Cxadr/Twf2/Vil1/Itgav/Vcam1/Pdpn/Fscn1/Vasp/Ttyh1/Fgf13/Msn/Mtm1/Fzd9/Ezr/Syne2",20
"GO:0098797","GO:0098797","plasma membrane protein complex","74/1718","481/15743",0.00141430277536476,0.0215970294927653,0.0190172470224624,"Itgb2/Itga5/Ebi3/Insrr/Cyba/Slc3a2/Cybb/Itga2/Eps8/Ncf1/Gng4/Syk/C6/Abcg8/Dtna/Gnal/Sorbs1/Sacm1l/Abhd6/Itgb8/Adam8/Ndufs1/Il18rap/Ncf2/Atp1b1/Itga8/Apbb1ip/Acvr1c/Traf2/Itgav/Vcam1/Tlr2/Cdh17/Atp6v0d2/Pde4b/Cachd1/Itgax/Itgal/Nox1/Cdh11/Pdzd3/Atp1a1/Kcnk1/Gna11/Gna15/Scn7a/H2-Q4/Gng12/Kcnk2/Gng10/Abcg5/Atp1a3/Npnt/Gjb5/Gjb3/Tlr1/Gjb4/Gja4/Tlr6/Kcnf1/Acvr2a/Ticam2/Kcnq3/Fcer1g/H2-Q7/Ifnlr1/Htra2/Duox2/Scn2b/Ncf4/H2-Q6/Kcng1/H2-Q1/Synj2bp",74
"GO:0071437","GO:0071437","invadopodium","6/1718","13/15743",0.00145610815531979,0.0215970294927653,0.0190172470224624,"Pdpn/Fscn1/Msn/Nox1/Dpp4/Ezr",6
"GO:0018995","GO:0018995","host","8/1718","22/15743",0.00154931606748886,0.0215970294927653,0.0190172470224624,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",8
"GO:0043657","GO:0043657","host cell","8/1718","22/15743",0.00154931606748886,0.0215970294927653,0.0190172470224624,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",8
"GO:0002102","GO:0002102","podosome","9/1718","27/15743",0.00161508220554592,0.0215970294927653,0.0190172470224624,"Lcp1/Fermt3/Adam8/Tpm3/Vcam1/Ptpn12/Fscn1/Tpm4/Sh3pxd2b",9
"GO:0044215","GO:0044215","other organism","9/1718","27/15743",0.00161508220554592,0.0215970294927653,0.0190172470224624,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1/C4b",9
"GO:0044216","GO:0044216","other organism cell","9/1718","27/15743",0.00161508220554592,0.0215970294927653,0.0190172470224624,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1/C4b",9
"GO:0044217","GO:0044217","other organism part","9/1718","27/15743",0.00161508220554592,0.0215970294927653,0.0190172470224624,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1/C4b",9
"GO:0005773","GO:0005773","vacuole","73/1718","478/15743",0.00184923810796507,0.0241661798199981,0.0212795102854354,"Gm2a/Tcirg1/Napsa/Peg3/Apoe/Hck/Dnase2a/Cdip1/Psap/Prss16/Neu1/Ctsd/Trpm2/Ctsz/Cd68/Tnfaip3/Dram1/Srgn/Ace/Npc2/Ctsl/Abcc1/Slc3a1/Anxa1/Fth1/Slc15a3/Capn1/Got1/Abhd6/Adam8/Ifitm3/Gusb/March8/Slc11a1/Cxcr2/Itm2c/Capn2/Cubn/Cat/Sppl2a/Il1b/Ctsk/Bcl10/Trp53inp1/Atp6v0d2/C9orf72/Laptm5/Tspan1/Abcd1/Trim29/Ctsh/Mst1r/Hpse/Slc2a6/March1/Unc93b1/Atp6v0a2/Atp6v0a4/Ctss/Cpq/Siglecf/Mreg/Rnf152/Ftl1/Treml4/Sphk2/Prcp/Rnf183/Cst7/Ank3/Ggh/Il4i1/Ass1",73
"GO:0033646","GO:0033646","host intracellular part","7/1718","18/15743",0.00195095279259729,0.0243869099074661,0.0214738739871692,"Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",7
