Row,Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10
ABCB11,0.0565094585105522,-0.0421516257638095,0.0037187481215735,0.00743087219775028,0.0623381365317328,-0.0769105175047248,-0.0259215027461241,0.0675363501609179,-0.00583055244946775,-0.00264520096064587
ABCC3,0.0886045799414793,0.0127524612664526,-0.0231952550394174,-0.0172323249411029,0.0706468236682622,-0.0255457272035451,0.0108717721409839,0.0338041720041028,-0.0244029019135108,-0.0213586333953076
ADAM21,0.00815790296764124,-0.0429125139694252,0.0936265763301987,-0.00211672057030952,0.0175173645199049,0.0619990317951174,-0.054173745211463,0.0719650926570366,0.0624471783568555,0.0205548249797263
ADARB2,0.0265990995241542,-0.00481506971572238,0.026446630624037,-0.0147902537455994,0.0332128663192766,-0.0955902306937948,0.00290622062261128,-0.0658097446461337,-0.0428351067851077,-0.0386071805904546
ADAT1,0.0468248116898423,0.0684599803808875,-0.0180820928157902,0.0203389246430701,0.0608215632591871,-0.100392836207128,0.00649406133143327,0.0267738474712017,0.0176019213221442,-0.0100922467568245
ADD1,0.04238206225975,0.0166187820313333,0.0692035861217187,0.0440024068449147,0.0618088572821997,-0.0282246134469755,-0.0662133974899742,0.00421399271005772,-0.0682865592468426,-0.0899496563307932
ADGRL1,0.0615488688897224,-0.0132401223329409,0.0803781423797835,-0.0461033099950286,0.0156560687189867,0.0369238421495971,0.0350110108963833,0.00586215626288731,-0.0599072157507215,0.00307695423970037
ADH7,-0.0236697003599017,0.0382540134758397,0.0473564857860468,-0.0631601211549203,-0.0399052427104213,0.0437997372891942,0.0567878134384377,0.000703139836285092,0.0170629079645642,-0.0627927413819457
AFG3L2,0.0943499341573679,-0.0340644458133902,0.0308622998222146,0.0174025644461503,-0.00339211959717977,-0.00669407883085409,-0.0030749400371213,0.000189106690265045,0.0163001250617937,0.00317811574745014
AGGF1,0.0564867173931719,-0.0610516454909464,0.0395597154660943,0.0183457561333199,-0.0081318529669251,0.0103177301706444,0.0631481547681133,0.0164352489573313,-0.0209330034499892,-0.02261018817817
AK2,0.0780628841699183,-0.0389607630549038,-0.0482400446448108,0.0233201785245327,0.0560478702225408,-0.00202079764974698,-0.0595261757538811,0.0320307321201395,0.0242008235292168,0.0204009848483513
ALKBH8,0.000577699133464579,0.0300680977723866,0.116135296688948,0.0511148086184643,0.00540949991642839,-0.0737190526582468,-0.00508554811776697,-0.0479454430437041,0.0122531723226547,-0.0101689023153772
AMBRA1,0.0153722879635091,-0.0274540023632149,0.0784651188114023,-0.0757379272181758,0.0127535684605536,0.00949564385256689,-0.0919403540323406,-0.0267827184099388,-0.0517235029675932,-0.0437709161762471
