Row,iCD_PC1,iCD_PC2,iCD_PC3,iCD_PC4,iCD_PC5,iCD_PC6,iCD_PC7,iCD_PC8,iCD_PC9,iCD_PC10,iCD_PC11,iCD_PC12,iCD_PC13,iCD_PC14,iCD_PC15,iCD_PC16
ABHD8,-0.013785145,-0.005396227,-0.031388514,0.01451912,-0.003929928,0.016791619,0.030653971,-0.018455918,-0.01758731,-0.013011762,0.017742508,0.007379244,0.012819967,0.028308691,-0.008987557,0.009312861
ABI3,0.011810775,-0.011321394,0.01017641,-0.008645286,0.004459414,-0.020136671,-0.027882779,-0.007506564,0.000337554,0.008370199,0.008663358,-0.008726625,-0.026784538,0.022511272,-0.014157626,-0.052737268
ABLIM1,-0.006793585,0.009701795,-0.021187203,0.00347625,-0.002912555,-0.018386876,-0.013624546,-0.027738661,-0.025219291,0.014581664,0.002325356,-0.051748218,0.01640817,-0.009471499,-0.024882674,-0.004344215
ABO,0.018492434,-0.021790337,-0.011892027,-0.014222964,-0.018702672,-0.020029518,-0.008993174,0.030865901,0.005849373,-0.011354264,0.017334464,-0.017549455,0.017388796,0.031716085,0.01010437,-0.00056013
ABR,-0.016184913,-0.012778913,-0.020997115,0.025000682,-0.018021146,-0.026477262,-0.006548174,-0.009566311,-0.011555082,-0.009153723,0.011411681,-0.0015808,0.009747977,-0.024824911,-0.02580035,0.029163575
ABTB1,-0.019331091,0.00106557,0.016557142,-0.014074858,0.037463473,0.003741592,0.016698592,0.007111657,-0.020065499,0.010402513,-0.017977094,-0.007521314,-0.022127055,0.001584101,0.023113956,0.002005947
ABTB2,0.023572769,-0.016679383,-0.020029858,-0.01483156,0.006157271,-0.010941543,-0.00043509,0.008708524,0.021828222,0.015351343,-0.02540773,-0.020052086,-0.012649588,-0.019377826,-0.006661757,-0.000769882
ACAA1,0.036509231,0.003405958,-0.003280855,-0.005130114,-0.007061013,0.000581198,-0.014516863,0.007742398,-0.017553395,-0.0234106,-0.00968867,-0.018979737,0.000688282,0.010682589,0.00067551,-0.003037406
ACAD9,-0.027214234,-0.000157296,0.000175461,-0.023032984,-0.001302494,0.015619374,-0.012689894,-0.005644142,0.006768075,-0.024570594,-0.008972006,0.039762116,-0.015162393,0.002263785,0.01191796,-0.014334538
ACADL,-0.006352656,0.007952857,0.003740167,0.025529836,0.027362471,0.001414372,0.017596593,-0.001855597,-0.009736037,-0.036431522,-0.02257796,0.01594704,-0.026471243,-0.013006362,0.026638175,-0.003942289
ACADSB,-0.007230947,-0.010656549,-0.010383951,-0.010017825,-0.039783862,0.008823471,0.000944181,-0.018460955,-0.013310651,-0.025172299,0.002044702,-0.014383541,-0.00427563,-0.040033232,-0.019344514,-0.038303516
ACAP2,-0.005061583,0.007812666,0.024978965,0.019169973,-0.034582335,-0.002213244,0.024374365,0.020759583,-0.009790859,-0.016857867,0.007828733,0.00233053,-0.01854534,-0.012529267,-0.003891363,-0.003485205
ACAP3,-0.003117451,-0.031064799,-0.01250112,-0.023706216,0.003833132,-0.024562097,-0.018777691,-0.021548846,-0.025326659,0.000642019,-0.00261135,0.015156428,0.007241973,0.010294991,0.008281373,-0.008137651
ACBD3,-0.033760372,0.014498561,-0.019753161,-0.009752349,-0.005232629,-0.005283839,0.017463588,0.014019928,-0.001379447,0.012620932,0.004572534,-0.000347303,-0.012448071,-0.016120709,0.000480283,0.000385846
ACBD4,0.010836874,-0.028025673,-0.024023043,0.013839467,-0.000621108,-0.000165637,-0.011907647,0.007489466,-0.006803272,0.02721437,0.025268143,-0.016972387,-0.01835772,-0.034329836,-0.009289501,-0.012937087
ACBD6,-0.032607333,-0.003454222,0.015442885,0.010846148,-0.011856418,0.005817279,-0.004706543,-0.005895836,0.020139803,-0.016557786,0.01472511,0.019074756,-0.007644554,-0.015963706,0.009370634,-0.021763243
ACE,0.035898555,-0.012646156,0.002597892,-0.011964799,0.006067026,-0.017470935,-0.012658417,0.011117615,0.001249536,-0.00374906,-0.003997095,-0.007604543,0.000141321,0.01667264,0.007385558,-0.008784684
ACE2,0.039653653,-0.005395524,0.008529986,-9.14E-06,0.004908678,0.001635853,0.00675817,0.006060963,-0.008687599,-0.006214496,-0.002126235,0.001912208,0.007686546,-0.009932451,-0.00881419,0.007191476
ACER2,0.002051501,-0.002097522,0.00401584,0.019959162,-0.010685321,0.032710109,0.017501733,0.013059285,-0.012218141,0.000478105,-0.003517623,-0.024889627,0.007560064,-0.033165527,0.016608464,0.007339034
ACLY,0.032126102,-0.000224344,0.000547713,-0.001257269,0.004680239,-0.008416132,0.014045043,0.005132195,-0.000689174,-0.023002101,0.011992095,-0.022107331,0.008080113,-0.031715642,-0.003756518,0.021506801
ACOT12,-0.016748341,0.016182294,0.006832697,-0.015205421,-0.009918325,0.009321739,-0.013864318,-0.002075417,-0.007695265,0.023447085,-0.009352862,0.031137183,-0.023704862,-0.008843118,0.048326466,0.020162683
ACOT4,0.01304882,0.02968541,-0.012193716,0.006131072,-0.007188417,0.008134296,-0.011115494,0.024476538,0.002761582,0.017941217,-0.01525362,0.044300262,-0.014251239,0.007081582,0.019666219,-0.025889917
ACOT7,0.012207251,-0.012846578,-0.009893925,-0.031262186,0.008444468,0.04219873,-0.000677629,-0.013553776,0.023895023,-0.019206345,-0.02886552,0.01358946,0.012331068,0.0189408,0.001463396,0.006341149
ACOX2,0.037396344,-0.002265577,-0.004186791,-0.020264118,-0.000758829,0.007987665,-0.001116104,-0.012910803,0.003442408,-0.006475277,-0.013735343,-0.012553351,0.006896878,-0.001882834,0.008277801,0.004918441
ACP6,-0.016488901,-0.004754528,-0.02799768,0.004799795,-0.012536991,0.022864053,-0.003776578,-0.024208586,-0.017238072,-0.014507335,0.01730343,-0.031685405,0.011627388,0.040857015,-0.01942741,-0.003193011
ACPP,-0.032930264,0.002286621,-0.020380834,-0.016471042,-0.011145594,0.001772824,0.005988185,0.004060411,0.00910863,-0.024499588,0.004609268,0.010749766,-0.005453491,-0.005092596,0.001608275,-0.024510032
ACSL3,-0.023344794,0.028973325,-0.018386423,-0.009381977,-0.013480442,0.008682485,-0.002683518,-0.008010518,-0.005321043,-0.00123964,0.018084059,-0.016957132,-0.005805174,-0.018834886,-0.020274093,-0.012820034
ACSL4,-0.03181636,0.003287075,0.009647556,-0.027999328,0.018307602,0.003972165,0.012358704,0.022080077,0.00782105,-0.005489504,0.018806236,-0.000602315,-0.002588462,-0.010606795,-0.000394589,0.002326592
ACSL5,0.03745811,-0.002586334,-0.00986073,0.004039183,0.010614592,0.011775646,0.013303951,0.012936448,-0.005475299,0.005450691,-0.007555176,0.003863497,0.015240553,0.011182678,-0.005438143,0.008342483
ACSM3,-0.021351035,0.021742846,0.002741465,0.030727069,-0.024412883,-0.012128158,-0.025504277,0.012740782,0.006340755,-0.014054712,-0.016356089,-0.002567315,0.010963157,-0.009510978,0.004250971,-0.004759747
ACTB,-0.01016765,0.00653567,-0.018429901,0.007160739,0.05780234,-0.008856136,0.000644922,0.007009649,-0.013491318,0.00141288,-0.021694357,-0.01404905,-0.008599107,0.020934213,0.008638214,0.001950638
ADA,-0.024714579,-0.013721149,0.018814783,-0.033356941,0.001905786,0.019169856,0.007388036,0.003551639,-0.014780905,-0.00749139,-0.007511671,0.001869909,0.01485565,0.015360978,-0.012487892,0.010336324
ADAM15,-0.018531241,-0.003547297,-0.011378472,-0.035322368,0.006604706,0.005352519,-0.022736773,-0.009106035,-0.001275023,0.004675194,0.001468455,0.03141263,-0.04781388,-0.003330173,-0.014880603,-0.02232558
ADAM23,-0.004536814,-0.017202616,0.020797393,0.015321481,0.005810384,0.016395488,-0.012755596,-0.025109989,0.001832201,0.010473718,-0.012771103,-0.00434254,0.018346768,-0.020942354,0.020086334,-0.028224502
ADAM9,-0.0230382,0.007739669,-0.031491331,-0.00633864,-0.017755784,-0.002714525,0.026473199,-0.019830022,0.005763804,0.013293501,0.025109403,-0.009174294,0.002144941,0.00248666,-0.017563009,0.001719228
ADAMDEC1,0.021723834,0.008109993,-0.015591728,-0.020596681,-0.012172025,0.013624787,0.031824911,-0.004353844,-0.023054997,0.008288841,-0.016228615,0.007572549,0.011858927,0.001757913,-0.013320178,0.00627873
ADAMTS13,0.013871808,-0.015128364,0.005678559,-0.00120922,-0.037939196,-0.008165869,-0.002868824,0.00546987,0.0244646,0.002087081,0.032631352,-0.017161108,0.013612093,0.023431901,-0.005472213,0.002583961
ADAMTS15,-0.007462027,0.001282832,-0.019040929,-0.022439777,-0.021413537,-0.011788978,0.000455836,-0.012664101,4.92E-05,0.025364507,-0.026489501,-0.007918532,0.006162676,-0.000543985,0.008722841,-0.008736297
ADAMTS9,-0.029023248,0.01962675,0.004215883,-0.032250902,0.006436901,-0.011012998,-0.010493527,0.011350328,-0.008291738,-0.001410679,-0.001372848,-0.002505032,0.014464459,-0.013232473,0.004427434,-0.009380481
ADAMTSL4,-0.015264701,-0.007242395,-0.003547824,-0.017256603,0.006900657,-0.012987748,-0.025346246,0.017141128,0.005582108,0.007293362,-0.007743516,-0.021629723,-0.046694216,0.032021319,-0.011241474,0.040071681
ADAMTSL5,0.035898555,-0.012646156,0.002597892,-0.011964799,0.006067026,-0.017470935,-0.012658417,0.011117615,0.001249536,-0.00374906,-0.003997095,-0.007604543,0.000141321,0.01667264,0.007385558,-0.008784684
ADAP1,-0.002602102,0.019258977,-0.040243787,0.008572825,0.006039291,-0.023831431,-0.011688988,-0.020208209,-0.001022838,0.010350147,0.009047288,0.021232945,0.008004964,0.011540787,0.010970453,0.024984067
ADAP2,-0.020186219,-0.003749134,0.017525733,-0.00363176,0.015017898,0.025098016,-0.017963838,-0.01586887,0.001296426,0.009634535,0.028754503,0.000810325,-0.024654998,0.011903316,0.031730561,0.007368264
ADARB1,-0.002811445,-0.018388217,0.00347177,0.002067631,-0.019018435,0.012465386,-0.008173854,0.034117879,-0.002578789,-0.00553814,0.024313074,0.021366499,-0.027691027,0.024070679,-0.005384946,0.035699029
ADCK5,0.011847068,0.00435465,0.002958,-0.01936819,-0.024512729,-0.010380474,0.015619081,0.00143865,-0.003134592,0.00859841,-0.043516463,-0.031143411,-0.010972827,0.030718615,0.032517689,-0.02258129
ADCY2,-0.008600058,-0.012733863,-0.003618684,-0.00359905,0.019035545,-0.00339987,-0.004369383,-0.029213975,0.047149193,-0.031974618,-0.008666878,-0.000492887,-0.034905921,-0.036903507,-0.015395923,0.034941355
