Row,cCD_PC1,cCD_PC2,cCD_PC3,cCD_PC4,cCD_PC5,cCD_PC6,cCD_PC7,cCD_PC8,cCD_PC9,cCD_PC10,cCD_PC11,cCD_PC12,cCD_PC13,cCD_PC14,cCD_PC15,cCD_PC16
ABHD8,-0.011280753,0.014966623,0.025570539,-0.009143182,0.006184399,-0.01693986,-0.007785451,-0.045025608,0.005464864,-0.012515265,0.027421041,0.010155239,-0.008382795,0.011070009,-0.046024859,-0.008928831
ABI3,-0.000808273,-0.011300636,0.010781736,-0.001067861,0.002005091,-0.000872216,-0.021190103,0.034094892,-0.004646546,-0.005953811,-0.00770163,-0.001092658,0.039427493,0.0264493,0.03370247,-0.004440946
ABLIM1,0.004031014,0.007403038,0.006601156,-0.003209346,-0.003833917,-0.046767422,-0.033405516,0.04083002,-0.013310137,-0.009592697,0.004616582,0.015472836,-0.030951614,0.006265872,0.004102191,0.014116804
ABO,0.014174676,-0.000623503,-0.015394155,-0.034370219,-0.011519341,0.007072418,-0.024116387,-0.012011318,-0.006093636,0.015715366,0.018724284,0.04268295,0.026592527,-0.003441091,-0.000164132,-0.008586229
ABR,0.02621981,0.025883273,0.01239319,-0.012125235,-0.00229725,-0.006333969,0.021865748,0.002632898,0.014242445,-0.004093138,0.010401695,-0.023203732,-0.000931628,-0.006542968,-0.019067068,-0.002215799
ABTB1,-0.024934355,0.0094097,-0.032675016,-0.000147862,0.004634869,-0.010122809,0.008701868,0.001281883,0.003433097,-0.025057549,0.033687045,-0.00762585,0.001835956,0.004428602,-0.005709564,-0.01008759
ABTB2,0.018653374,0.016879909,-0.004927765,-0.009840548,0.00590242,0.000189356,-0.027381173,0.002323328,0.016360945,0.002647571,0.007790777,0.002646896,-0.012812998,0.006773256,0.016311376,0.013819236
ACAA1,0.033200747,0.006639643,-0.02753786,0.005202457,-0.012246297,-0.009136778,0.002541868,0.005536526,0.001573651,-0.000607063,-0.005195969,-0.009939926,0.002665793,0.019580544,-0.020988137,0.002852864
ACAD9,0.00522285,0.024526264,-0.000874143,0.001990764,-0.010739362,-0.015623989,-0.026889456,0.020297758,-0.018154231,-0.023898377,-0.03802288,-0.013798555,0.008114223,0.015359422,-0.002018112,-0.012164876
ACADL,-0.002356115,0.004590444,0.015891689,-0.024379554,0.001873918,-0.024088142,0.003009379,-0.020686326,-0.024935073,-0.010316752,0.028055447,-0.043824675,-0.022151893,0.00278864,0.004070219,-0.01146248
ACADSB,0.030940458,-0.018946747,-0.010043399,-0.001542496,-0.012406415,0.010892128,0.019839103,-0.013361702,-0.01081572,-0.016979185,-0.006083531,-0.000459704,0.017166919,0.000406867,0.002688974,-0.020022713
ACAP2,0.030020315,-0.006335273,-0.029646484,-0.012314678,0.014894547,0.016597795,0.001603721,-0.021378846,0.000434794,-0.007334492,0.00448913,0.002967881,0.017148879,0.003135634,-0.004178979,-0.00168868
ACAP3,0.001242612,0.030415808,-0.000405667,0.005530886,0.010759747,-0.02088391,0.012521586,0.020783582,0.010268511,-0.004945212,-0.019313319,-0.006555049,-0.017833644,0.032939614,-0.026328128,0.015884038
ACBD3,-0.013761864,-0.029710439,0.029424198,-0.014944973,0.012782489,0.006650436,-0.007572435,-0.004287039,-0.008536389,-0.008643473,-0.012979463,0.005148682,-0.011843087,-0.002091201,0.007092073,-0.005661973
ACBD4,0.014527489,0.011617063,-0.001629003,-0.002479397,0.018355622,-0.039329759,-0.013637402,-0.024400642,-0.000830009,-0.005446657,-0.011088869,-0.041455286,0.018711149,0.014007155,-0.023548003,0.017682897
ACBD6,-0.009416643,-0.029656876,0.012019389,0.033326842,0.008862912,0.006901183,0.014433486,0.016409913,-0.013418149,-0.022994177,-0.010153434,-0.006850537,0.005576317,0.016463629,-0.00393761,-0.024018085
