NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_3,NI_V_4,NI_V_5,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5
ENSMUSG00000067714,NA,163.6619857,192.226148,210.128991,111.8972619,249.5126461,162.4163817,159.2451768,270.3678242,151.7622636,218.36388
ENSMUSG00000067719,NA,1443.755675,1455.722489,1673.21194,3828.752891,1719.351888,1284.38388,2224.413252,1630.472672,2370.028358,1175.267861
ENSMUSG00000067722,NA,168.2327724,101.5068187,220.4436404,260.7239646,182.0202468,161.6313295,169.4681921,176.1081033,214.0660384,176.3626594
ENSMUSG00000067736,NA,124.3684663,131.6970265,89.48770326,0,0,127.4713639,24.10694165,83.22830984,26.41751354,50.5788203
ENSMUSG00000067750,NA,0.769407481,0,3.06952231,3.287719794,0,0.896769569,1.109387179,0,1.884803763,0
ENSMUSG00000067767,NA,0,1.14112953,0,2.184821698,0,0,2.247525817,1.018897591,1.89121298,0
ENSMUSG00000067768,NA,23.59035988,2.743198017,16.82660673,13.19004411,1.298069298,4.373184324,24.86619732,8.83352004,25.03109233,1.861905761
ENSMUSG00000067780,NA,6.21621236,12.94752703,9.221088925,4.317682593,8.414064515,14.46027762,1.127207186,2.984138577,7.600204356,6.524165542
ENSMUSG00000067786,NA,27.63733588,38.25102382,40.28827993,75.83583233,54.15007702,16.48311382,16.67384485,18.66621202,20.24005391,20.20461373
ENSMUSG00000067787,NA,359.1312966,486.6094682,350.9792712,614.9116279,398.0465503,305.1814939,444.9633898,508.7788441,448.5745464,454.4295942
ENSMUSG00000067795,NA,3.116910748,1.167797751,1.040280216,0,1.159808077,0,3.235928918,5.03439951,2.767968823,1.867622979
ENSMUSG00000067813,NA,350.4859392,341.1493127,391.4979552,657.8131876,463.2662602,307.4783979,572.9683602,571.6509954,410.5640156,345.4982306
ENSMUSG00000067818,NA,3262.219883,5672.361798,1983.206476,1976.165582,1967.245465,2429.992745,2552.036784,1599.173467,2352.80949,1612.971388
ENSMUSG00000067825,NA,212.1576548,188.5014319,209.5366272,202.7180832,298.1816032,233.1607856,206.268209,236.1890346,237.788113,286.379103
ENSMUSG00000067847,NA,419.3876419,398.665095,413.8598703,702.0263806,374.3855298,279.9077272,514.8627531,396.3195994,534.0072233,295.3458273
ENSMUSG00000067851,NA,2261.514697,2886.675744,2545.431597,1363.00507,2477.052644,2925.577156,1831.324941,2933.871696,1469.102134,3608.139736
ENSMUSG00000067870,NA,3175.644504,3218.346085,2722.091067,4019.194041,2872.047352,2835.138955,3304.842546,2941.067865,3590.894876,2709.185538
ENSMUSG00000067872,NA,1.54187353,1.189223431,1.042180332,0,3.412544003,2.604497376,0,1.012989213,0.934677177,3.690260168
ENSMUSG00000067873,NA,429.9725896,439.1408781,333.1303657,234.9506508,349.45707,391.8412339,248.4548429,393.3193225,286.7709084,360.2877894
