NAME,DESCRIPTION,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6,I_MKI_1,I_MKI_2,I_MKI_3,I_MKI_4,I_MKI_5,I_MKI_6
ENSMUSG00000082604,NA,0,0,1.050817441,0,0.583001233,0,0.659516162,1.693081782,0,0,0,0
ENSMUSG00000082605,NA,0,0,0,2.707052226,1.714022766,0,0,0,0,0,0,0.681835755
ENSMUSG00000082607,NA,0,0,0,0,0,0,0,0,0,1.889250718,0,0.668501512
ENSMUSG00000082608,NA,0,0,0,0.676941874,0,1.502001934,0.684649769,0,0,0,0,0.663409192
ENSMUSG00000082609,NA,2.31391388,2.557390972,0,2.038136596,4.643947561,8.316793283,0.672456473,0.841235041,1.796128849,1.889250718,1.696058432,2.674006049
ENSMUSG00000082617,NA,0,0.639347743,0,0.679378865,0,0.756072117,0,0,0,0,0,0
ENSMUSG00000082622,NA,0,0,0,0.69018465,1.169349946,1.491668238,0,0,0,3.798135544,1.705543533,0.655209302
ENSMUSG00000082633,NA,0,0.639347743,0,0,0,0.756072117,0,0,0,0,0,0
ENSMUSG00000082634,NA,0,0.649286571,0,0,0,1.50354491,0.662152124,1.685769448,0,0,0,0.671020048
ENSMUSG00000082641,NA,0,0,0,1.35875773,0.580493445,0,0,0.841235041,0,0,0,0
ENSMUSG00000082645,NA,2.2590635,0.640971471,1.046737709,0,1.127876111,1.516198923,1.373281182,9.336705428,1.782902317,0,0,2.728958675
ENSMUSG00000082646,NA,2.31391388,0,0,0.679378865,1.16098689,0,0.672456473,0.841235041,0,1.889250718,0,1.337003025
ENSMUSG00000082647,NA,4.63425905,0.648298115,0,2.051030374,5.244557977,3.706670172,5.356594549,0.837224501,1.797658056,3.809327008,3.443552657,5.238412417
ENSMUSG00000082649,NA,0,0,0,0,0,0.756072117,0.672456473,0,0,0,0,1.337003025
ENSMUSG00000082655,NA,0,0.639347743,0,0,0.580493445,0,0,0,0,0,0,0.668501512
ENSMUSG00000082662,NA,583.1062977,869.5129304,915.5459635,853.2998547,909.6332284,1351.100872,1178.816196,2142.625648,659.1792875,562.9967139,617.3652692,1778.882524
ENSMUSG00000082663,NA,0,0,0,0,0,0,0,0.841235041,0,1.889250718,0,0
ENSMUSG00000082665,NA,0,0.643528565,0,0.668168199,0,1.484413318,1.373870551,2.625665301,1.768940935,0,0,0.657215907
