NAME	DESCRIPTION	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5	I_MKI_1	I_MKI_2	I_MKI_3	I_MKI_4	I_MKI_5	I_MKI_6
ENSMUSG00000071172	NA	1574.591058	1825.695439	2332.321295	2223.216933	1648.332994	1543.158202	1828.113454	1673.592422	1402.409043	1412.092362	1610.631193
ENSMUSG00000071176	NA	101.6125931	46.85151656	34.65560273	71.81724626	74.7781376	68.99637503	46.07648725	80.23661024	70.4608399	80.41649434	66.44900218
ENSMUSG00000071177	NA	0.664997855	0	6.197170418	3.324314809	1.21937392	3.379032497	0.7913522	2.126218242	4.431680923	0	0
ENSMUSG00000071178	NA	462.7119435	740.1259289	537.1480713	336.2607599	189.7191054	327.3751931	380.588663	239.7633669	364.8716602	447.1553535	217.7890374
ENSMUSG00000071180	NA	545.9456967	1065.737353	988.245766	1016.62833	653.2532267	480.0476921	677.3739754	644.4671962	546.0211792	529.4001943	617.5014499
ENSMUSG00000071192	NA	1.352891871	2.09950223	0	2.258818435	1.193259634	3.470954231	2.296125788	1.392624408	0	4.266348879	2.767843182
ENSMUSG00000071203	NA	744.9841036	1223.84358	1148.1293	1292.115885	1090.943389	1031.817458	938.3032628	981.7923918	942.3646784	1060.03162	1059.251858
ENSMUSG00000071226	NA	31.92735087	12.47431334	2.361766948	5.136611338	12.74872235	20.26649154	1.599116028	1.991118703	4.405891168	4.597955602	2.847919775
ENSMUSG00000071234	NA	0	3.140525535	2.137963459	0	2.395278352	0	0	0.693675253	0	1.411865472	0
ENSMUSG00000071252	NA	6.949127906	4.684104304	2.016998991	7.336284266	18.9757203	16.18727594	15.06250753	11.78957344	17.22441808	19.30963435	11.87693429
ENSMUSG00000071253	NA	177.4377458	192.210835	252.6001074	172.0097597	208.8573801	224.4124493	261.1104145	229.5320027	235.2641785	247.4375342	270.8532758
ENSMUSG00000071256	NA	87.24695205	56.72793418	79.76654865	80.86944848	90.5636661	82.13107525	80.31644506	91.76095884	95.36305586	62.53354207	66.77859913
ENSMUSG00000071265	NA	0	1.795927054	0.940975726	2.419296574	1.390067384	1.534779151	1.50821307	1.337207925	3.680531763	0	1.572318577
ENSMUSG00000071266	NA	192.6907931	187.3970968	279.1106034	206.9168168	200.9292557	200.5461705	200.9703387	226.0899045	196.1954093	223.7353189	202.1369586
ENSMUSG00000071267	NA	94.37171292	88.18118207	105.3568569	91.71822636	145.5022044	152.3822209	156.8070258	142.9463063	125.659251	172.7887126	118.3231972
ENSMUSG00000071281	NA	98.68694232	84.56602972	102.5026317	93.33188367	144.2519797	108.7891593	84.63220316	147.4801398	212.2000149	117.3670952	140.8082627
ENSMUSG00000071291	NA	47.08389146	51.34924506	47.24293847	53.59809521	66.13367821	44.36575589	54.33065094	50.51437011	41.64403745	109.5053505	44.88109375
ENSMUSG00000071302	NA	106.0976758	95.69581739	133.9846034	116.701581	25.6477733	208.1459446	93.79731462	113.9701067	103.3950375	203.3295965	135.2334637
ENSMUSG00000071303	NA	0	0	2.093329246	0	2.446979007	1.684184555	1.598905559	3.566659292	2.235912498	9.989307437	0
ENSMUSG00000071311	NA	3.303787845	6.126682124	7.340938936	6.640021098	10.9448751	11.73332715	3.935314704	6.37433457	13.08188702	21.72571814	9.964941002
ENSMUSG00000071317	NA	25.0029322	23.25977351	13.38177191	29.40137082	25.15037058	20.3360196	22.07436046	26.24019605	48.39033368	26.65468519	46.90607492
ENSMUSG00000071324	NA	12.95530775	11.99092208	15.30550581	5.12052153	9.746266961	6.532681342	9.73636401	25.5329421	6.153839724	6.896859985	13.84773838
ENSMUSG00000071335	NA	81.95004621	84.19809348	171.963316	192.284213	150.2793584	77.00298367	149.0156455	144.083669	126.4571196	97.80845314	86.51870175
ENSMUSG00000071337	NA	159.0343286	149.5858283	158.4164013	121.5722677	136.5003565	194.139298	115.0908459	130.5547957	182.0935482	169.836371	204.5763249
ENSMUSG00000071343	NA	1.358487851	8.348371378	4.20911483	4.57216226	9.391443093	2.611894121	5.427621311	4.87346995	4.31061639	5.678217156	6.948326889
