"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000001864",29.3268825033498,-1.37760778768314,0.236573927734679,-5.05927989251813,4.20842750254163e-07,0.00104248474328188,0.311452939497854,-0.634390573900198,1.42315073517487,1.48810782286054,1.53357172624191,-0.840184751077089,-0.645495367256333,-0.572471713801269,-0.843310618385564,-0.646850029620533,-0.573580169734179
"ENSMUSG00000018548",248.07059020562,1.14765042490571,0.149584091328702,7.4513441035779,9.239402659213e-14,1.81101531523234e-09,-0.716429730401988,-1.1002110994865,-1.19623594896566,-0.609611234834137,-1.22036023419662,1.28227573791651,0.77282476172824,1.02033389691953,1.21627054708946,0.0876692608172349,0.46347404341392
"ENSMUSG00000021500",586.928718755043,0.814380942433042,0.177253357522803,4.45908980650932,8.23084312419582e-06,0.00733330709442556,-0.861778079684598,0.0433294877746671,-1.47033518336738,-0.32262902535396,-1.85707531744728,0.991124229321503,0.783814391850259,0.559258824694381,0.865453613140943,0.831028490104934,0.43780856896651
"ENSMUSG00000027883",778.403477068634,1.19684922768482,0.246238928568236,5.38241972327241,7.34911551136945e-08,0.000354440751817976,0.615276326079143,-1.30302216217662,-0.957058213835372,-1.00356855015465,-0.896222219533242,0.462250759435727,0.99930021966384,1.26903371800873,0.978029982346227,-0.920021441320074,0.756001581486296
"ENSMUSG00000029445",147.752189022697,0.821329577691094,0.201277707955751,4.32822749883143,1.5031416167601e-05,0.011331953396198,0.0490241137712472,-0.95174535127843,-1.29490425782868,0.335804410548278,-1.74890964431274,0.253267657010045,0.402086956141442,1.55114727509513,0.395969776786023,-0.183834605783449,1.19209366985115
"ENSMUSG00000029676",123.892996914913,1.15307491790128,0.174646679465898,6.20024763039477,5.63743898211299e-10,3.68331471627989e-06,-0.61074824973109,-1.26885466297235,-0.9253148281276,-1.09279134765843,-1.22644185202112,0.813644037988466,0.684692857336068,1.0404908331359,0.752154349018431,0.877841468142351,0.955327394889369
"ENSMUSG00000030064",346.942470803345,0.818376220336359,0.193131279214365,4.33454608470582,1.4606118886277e-05,0.011331953396198,0.516837848331929,-1.36320613259787,-0.744181000800899,-0.0176145904621859,-1.23406334397797,1.70917653565022,0.333390523663527,-0.41220468656936,1.36537505700011,-0.676397328599371,0.522887118361888
"ENSMUSG00000031311",1935.76076584704,0.360687284320712,0.0832743990392281,4.29486433865863,1.74800193385139e-05,0.0122366378233647,-0.255086044991984,-1.79530489452877,-1.51759639157006,-0.325000088724477,-0.104128786641594,-0.00259642638582599,0.967170916498237,1.07579226512424,0.89042572212121,-0.114182070565566,1.18050579966457
"ENSMUSG00000031708",26.9633309765415,1.7672244043201,0.2528367084456,7.18091999969147,6.92438639843955e-13,6.78624488979068e-09,-0.395815391262129,-1.10828936369436,-1.10828936369436,0.117081450885926,-1.10828936369436,1.3579572764587,1.27425417963426,0.721854145803786,0.625479171543999,-1.10828936369436,0.732346621712885
"ENSMUSG00000036580",214.198385787824,0.988784444891421,0.178212312572108,5.27908849706398,1.2982809423582e-07,0.00042412674585272,-0.117123189422177,-1.29615817971127,-1.56368893405298,-0.84433672823176,-0.600861752734027,-0.00390112091206856,0.717011589545654,0.989938340663173,1.30288671305461,0.163725768065718,1.25250749373512
"ENSMUSG00000038838",174.209644905781,0.63069609674635,0.166230002699566,3.96573710651281,7.31694747600313e-05,0.0462643507990766,-0.25287509572215,-0.905226971220964,-0.352024790881123,1.18761586430463,-2.08174720284077,1.28580499280261,0.289054598354245,0.663016665146981,0.420466089097955,-0.783960926957012,0.529876777915604
"ENSMUSG00000042436",194.755049072151,1.04977262142608,0.228074388464474,4.29601597988468,1.73895052813175e-05,0.0122366378233647,0.356231873562952,-1.47701409755059,-1.27843142826895,-1.29037138408427,-0.664583878939223,1.24591758986541,0.489345850662142,0.897976068688575,0.689613700132152,0.100382564870814,0.930933141060998
"ENSMUSG00000047415",78.7702432692798,0.911460897997175,0.213539432041216,3.98983313928026,6.6119793118254e-05,0.0432004688303632,-0.32020998922656,-0.0605606169848364,-1.3290298410485,-0.821282196689763,-1.63910937733677,1.60984157461164,0.190517749922825,0.506935335564994,0.27957386837904,1.31597325993972,0.267350232868227
"ENSMUSG00000071302",122.111831358662,0.763068703978704,0.232393481236465,3.90268728513202,9.51305769303014e-05,0.0582704512003387,-0.119421892826913,-0.298339318518261,0.365930291243944,0.0911344534740268,-2.47508278545635,1.3187612012633,-0.359226615841594,0.0162202864561433,-0.173976859285464,1.2612983031416,0.372702936349569
"ENSMUSG00000089715",346.508381315493,0.957794119209954,0.2242320917152,3.75067894802885,0.000176356391145001,0.0987646177952334,-0.280532885179768,-1.11922824197581,-1.48699417386501,-1.00432185783667,-0.444752981165813,1.61275073430759,0.448860999282435,1.0596170413499,0.958225190198347,0.561039605022639,-0.304663430137838
