NAME	DESCRIPTION	NI_V_1	NI_V_2	NI_V_3	NI_V_4	NI_V_5	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5
ENSMUSG00000023044	NA	91.07459645	109.5799255	36.04713381	53.16801124	59.08035541	67.34594845	70.55136519	59.60143456	91.85212279	72.03812459
ENSMUSG00000023045	NA	798.8990578	787.8488941	1499.711178	2297.59144	1727.880066	452.1361912	460.3389673	1270.837587	891.4784937	513.4458359
ENSMUSG00000023046	NA	40.11828479	238.338299	102.6382307	64.01100587	79.91681069	58.2377883	315.9567269	184.2465449	189.3705597	131.3001419
ENSMUSG00000023047	NA	2.202473704	0	0.45322627	2.273811297	4.265222864	0	0.255803591	4.375007269	4.57481145	0
ENSMUSG00000023048	NA	2512.116038	3242.079417	3232.627756	4845.539782	2842.279859	2320.614927	4128.181177	3868.891798	3346.489907	1950.910688
ENSMUSG00000023050	NA	59.24902992	69.81261232	59.02243217	22.86946353	36.40414792	35.16997074	36.21242584	13.57442521	33.05372758	35.27527154
ENSMUSG00000023051	NA	269.3311106	221.0581401	290.4052817	396.5090506	363.5709253	171.4141393	252.1462102	329.0667559	253.707792	211.7349481
ENSMUSG00000023052	NA	2.082316303	1.646324845	2.846269369	6.698008784	1.575963397	0	21.21316408	1.573611049	3.29732837	1.824581497
ENSMUSG00000023055	NA	224.4034185	234.1261777	127.3197985	84.98048149	254.6688565	194.1913182	145.6050129	101.3848403	215.2120546	369.767372
ENSMUSG00000023057	NA	27247.792	52987.4285	66269.40838	80416.47853	68372.6142	8939.587515	23119.98196	30357.2886	26139.64096	13633.18952
ENSMUSG00000023064	NA	79.11188759	127.781884	55.15547698	67.13018826	48.4375157	33.39412268	77.00839099	32.57183448	41.59737281	48.27208517
ENSMUSG00000023066	NA	50.94292817	44.95723674	65.28416067	34.12700101	44.26023789	61.98165412	43.45030923	26.23065916	31.90918352	55.472325
ENSMUSG00000023067	NA	2658.530906	2682.829964	3344.547172	4848.002654	3621.738402	1840.021726	2718.411545	2725.720196	2785.268585	1759.277571
ENSMUSG00000023068	NA	1277.624952	1447.773456	1496.215238	1457.624031	1192.516463	1463.751733	1475.230076	1356.649445	1362.195943	1278.129635
ENSMUSG00000023070	NA	15.86724426	19.21370288	25.0153033	33.92915875	45.99059067	13.29926951	9.47244263	22.08795799	41.02593892	36.85877807
ENSMUSG00000023072	NA	155.8825276	151.9568748	224.4040806	152.6924634	178.2207539	153.1722708	101.4720789	165.1263579	162.3675771	33.92724345
ENSMUSG00000023073	NA	9432.46692	10756.03109	9219.590362	11017.2395	7584.380033	1700.399766	3862.452145	2349.837526	2535.276315	2736.888096
ENSMUSG00000023074	NA	196.0065891	239.2724221	173.4315414	364.7212532	291.8928699	170.859053	260.1474058	256.560441	197.1461462	230.8874482
