NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5,NI_MKI_6
ENSMUSG00000059179,NA,0,1.636781609,0,0,0,5.006484102,0,1.96799219,0,13.17968662,0
ENSMUSG00000059182,NA,401.8349597,424.6268046,342.9668506,523.1217193,634.6720142,366.4479055,375.6375651,465.0625195,407.8520839,601.6363812,540.1476188
ENSMUSG00000059183,NA,205.4530475,169.1302309,244.7294142,271.5118387,275.6889065,192.2849559,236.9156751,178.1682894,308.0927376,240.5381995,261.0367064
ENSMUSG00000059187,NA,16.89356824,10.18487134,24.14917603,18.48799156,9.123624736,16.14559565,10.05058589,21.18483498,8.229247384,11.21313258,7.359523343
ENSMUSG00000059195,NA,28.48234395,7.940005737,5.597026514,46.46999919,34.59541309,24.03241459,0,7.249462212,2.92129615,40.89357111,39.77369412
ENSMUSG00000059201,NA,0,7.768980535,1.042942835,70.7399339,10.07965827,102.9213564,0,27.05193995,7.56216181,4.779423751,0
ENSMUSG00000059208,NA,2440.179469,2959.666513,1609.081037,3225.700187,5027.824252,2089.294266,2164.693234,2090.223286,1879.515423,4422.41985,3018.630481
ENSMUSG00000059213,NA,0,0,1.103921417,0,0,0,0,0,0.971254135,0,0.858990466
ENSMUSG00000059229,NA,1.050278334,0,0,0,1.602550355,1.730332999,0,2.049299801,1.951968086,0,0.891800304
ENSMUSG00000059230,NA,0,0,0,0,35.57350094,0,0,0,0,11.66271835,25.48885737
ENSMUSG00000059237,NA,0,54.16944836,14.0707633,64.70363772,54.52133986,0,30.8890644,34.66206384,0,45.28439126,0
ENSMUSG00000059248,NA,1266.732752,2005.43079,771.2571104,1491.662447,1996.433521,1542.291435,1264.253796,1158.402225,1029.748541,1681.258011,1488.203509
ENSMUSG00000059252,NA,15.67311042,6.089347329,8.561860129,9.444237932,0,8.590815,4.505386707,13.20922331,7.562735183,4.665087341,13.65474502
ENSMUSG00000059263,NA,1730.915533,1784.265251,1626.374306,1703.839405,1862.179737,1818.957412,1715.392093,2048.773927,1485.443746,1656.595199,1398.339533
ENSMUSG00000059273,NA,263.2781827,64.80907629,76.28957791,281.3113023,268.3273185,282.2620083,157.1299014,361.2855669,243.757474,572.3868352,235.6515637
ENSMUSG00000059278,NA,492.7493421,441.5934478,960.8104049,428.2617562,392.2627208,480.5403583,573.5656408,593.2883546,848.7291554,440.9186174,455.1992663
ENSMUSG00000059288,NA,249.3747345,237.5214002,166.0071731,180.7963597,302.9157272,246.0273797,207.9155237,222.1014073,163.0174525,167.1639489,211.8151706
ENSMUSG00000059291,NA,5566.016568,4773.623366,9462.493308,3967.06613,3349.634837,4592.918748,4450.19543,5503.12104,7162.251474,3671.322018,4320.818878
ENSMUSG00000059305,NA,4.271803952,2.663948585,4.459085767,0.750277298,1.575726513,2.619063658,4.602267614,3.057997738,0,0,5.315885263
ENSMUSG00000059316,NA,1333.568769,942.1638255,819.2579714,1250.903324,797.0326984,1022.761642,1388.550249,1090.933154,1012.363914,1072.155699,1103.174684
ENSMUSG00000059323,NA,1701.89307,1690.423614,3111.923716,1625.379371,1506.927656,1600.522519,1757.106326,2056.797142,2731.411038,1471.732666,1740.46128
ENSMUSG00000059325,NA,860.1653776,906.2134214,1190.971935,700.5329303,677.5217487,705.0403262,937.2901556,923.6704325,1323.943198,660.3063996,829.15153
ENSMUSG00000059326,NA,0,9.919086122,0,16.64385451,14.11507438,23.47290915,0,0,19.78637054,28.79893181,0
ENSMUSG00000059327,NA,41.3158556,20.45600256,8.472192531,37.4072704,13.04266416,7.912149327,31.29276554,33.71737747,18.58322626,55.60679269,11.33223261
ENSMUSG00000059336,NA,1.804170581,7.720599339,2.620088206,3.763657525,5.404781044,5.201597846,6.313390501,2.609519471,7.967678172,10.07459188,6.395192227
ENSMUSG00000059343,NA,3.122082146,4.320033713,2.088284484,1.606408429,3.412909084,4.288134964,3.578516005,4.040204497,3.702838602,0,3.715181802
ENSMUSG00000059355,NA,670.4624987,717.8875953,911.7581254,487.3405287,576.7492809,536.9747218,554.4408048,747.5581302,677.0513933,665.9765595,514.3566547
ENSMUSG00000059361,NA,4.246001262,3.559043337,34.70517786,7.619800452,3.216136593,11.32235659,10.82697584,5.1771157,10.56893495,2.279735002,4.470478722
ENSMUSG00000059363,NA,128.1132448,125.3977267,156.5367565,106.7555716,125.6435417,132.2397552,138.6832336,153.7920528,193.3442167,131.8022849,101.9554457
ENSMUSG00000059395,NA,2.990568938,5.912664037,6.269810797,8.381719053,2.596703736,5.921866038,6.130469233,8.970152273,4.597016063,4.879000279,12.29611192
ENSMUSG00000059401,NA,48.28494093,41.06610192,36.12334006,47.49860235,23.81385133,45.77240125,31.25623565,60.33025248,41.29103872,18.27498488,46.42345114
ENSMUSG00000059408,NA,1.051243956,1.755104343,0,0.768550921,0,4.323766251,0,1.018472493,0,0,0
ENSMUSG00000059409,NA,919.5978586,789.2063621,372.0713691,853.1087774,829.692387,800.9483022,867.9139885,814.1354817,572.633429,901.2974129,868.1023989
ENSMUSG00000059412,NA,3.174314674,2.667548713,5.562199356,4.508567363,2.365955627,0,4.506662419,7.26103615,0,0,0
ENSMUSG00000059422,NA,153.5764708,173.1244824,120.9716619,211.6185053,200.2940898,180.6419984,146.5223446,130.8412705,131.7111655,296.3224376,192.4579029
ENSMUSG00000059423,NA,299.1129756,152.7689443,112.4000404,166.1326901,147.0769502,200.3911214,192.4177006,160.2543189,179.9304035,90.36014362,249.7114249
ENSMUSG00000059430,NA,17163.30829,14257.7592,17834.78131,8802.913722,6467.21957,9701.137854,12417.82196,19052.58102,15414.1158,8864.481211,9821.205378
ENSMUSG00000059436,NA,4486.4118,3116.957972,3888.341018,3093.98076,3096.523993,3681.864297,3304.008725,2505.140997,3280.208418,2179.675336,3435.884631
ENSMUSG00000059439,NA,379.0962974,278.8802522,359.2758753,428.0532414,167.1865708,731.8021861,583.0220914,324.1348055,197.7942883,122.0367557,257.4494217
ENSMUSG00000059447,NA,5095.237757,3335.136274,4737.507391,4092.176159,2972.315234,4374.586735,5009.50532,3793.625393,4932.480223,3654.670408,3949.464957
ENSMUSG00000059455,NA,0,0,3.177779014,2.328883914,0,1.713354253,6.34916198,0,3.812649235,0,0.921319091
ENSMUSG00000059456,NA,1357.387327,1183.496597,1449.979769,1142.158845,1367.305638,1367.997321,1157.876628,1083.598684,1033.060461,1180.324697,1189.792405
ENSMUSG00000059460,NA,0,0,1.050179025,0,0,0.87478222,0,1.016911482,0,0,0
ENSMUSG00000059461,NA,56.42319753,33.05645693,81.33767122,27.54569397,20.68226799,12.8862225,28.83447492,21.33797612,45.3764111,32.65561139,25.48885737
ENSMUSG00000059474,NA,507.5457588,522.8508692,358.4450392,733.5398419,692.4037292,463.7423384,781.3611816,710.3178933,413.4742036,705.4009001,886.1591419
ENSMUSG00000059475,NA,278.5693799,252.7613037,217.9530663,462.2927397,315.3617522,239.3140964,326.4190285,315.5005809,344.3077775,136.8308964,444.2333298
ENSMUSG00000059479,NA,40.75426843,18.82440916,37.18801423,14.61670945,6.175323427,28.5695072,26.26808013,18.57349199,22.09045232,0,18.99331695
ENSMUSG00000059482,NA,112.5401839,209.5442721,137.1726107,119.2937287,85.69252095,114.7473675,117.2580381,104.2935119,120.084457,71.49191958,99.07888237
ENSMUSG00000059483,NA,4.183451652,6.882852155,2.090594401,4.930500843,2.513444993,6.920353593,3.553716293,3.979658963,1.837211356,9.424292117,5.598936342
ENSMUSG00000059486,NA,1162.405861,686.1511516,330.6271016,772.0783707,495.7548983,778.4018922,794.5754164,488.4681408,749.1904768,862.2735627,847.4799319
ENSMUSG00000059493,NA,10.2683047,17.18009207,17.17133518,22.16270085,25.05085323,22.25544111,28.65580668,17.98638348,14.59851691,21.58578122,16.05481166
ENSMUSG00000059495,NA,1636.671521,1472.373178,703.7833627,1486.14332,1470.844491,1649.932063,1497.417801,1279.612076,819.1044118,1532.976146,1177.116149
ENSMUSG00000059498,NA,105.975943,105.9763822,138.7101245,100.8731732,215.5161017,127.4518545,101.9480232,103.4814712,162.7907455,326.3538624,89.49146331
ENSMUSG00000059518,NA,510.1291585,444.9209627,761.9740451,403.8362677,542.837541,417.073907,459.5231773,567.2158411,674.0304916,482.6705847,479.8331377
ENSMUSG00000059534,NA,4367.854257,4605.458714,7214.238549,3028.130144,2830.313303,3604.019095,4560.242743,5158.596425,7570.914756,2717.445444,3679.172115
ENSMUSG00000059540,NA,8.806592523,16.06421753,53.8172222,32.70432786,5.638852866,13.62400965,16.83670506,25.60284571,14.78971799,29.77643789,35.42762062
ENSMUSG00000059552,NA,627.0364075,923.4328103,596.1945224,751.7326338,866.2662287,710.4421713,778.7061098,623.4321856,702.4027549,743.4040038,518.6977389
ENSMUSG00000059554,NA,249.3976969,127.7708781,422.8069564,232.9545599,169.8072919,254.14689,320.3512809,265.798626,459.5319495,119.5277536,239.7675281
ENSMUSG00000059555,NA,1181.641772,963.9721112,748.8349903,1037.131443,916.7551289,1025.106615,1078.44304,956.6373778,1078.437004,854.3108929,975.5148734
ENSMUSG00000059565,NA,1.033681045,0.868908129,1.107833853,0.772012843,0,0.851668703,0,3.080299051,2.907871263,2.284681735,0.901775148
ENSMUSG00000059586,NA,213.3628348,262.0442668,329.1005803,264.2628918,310.7048433,205.6241243,243.3890087,256.3208158,291.1728389,327.4103442,337.938341
ENSMUSG00000059588,NA,374.9085755,233.63473,146.9260363,433.2145703,251.0865025,427.2112045,356.5669522,224.7557781,223.8923756,280.5677069,397.0486894
ENSMUSG00000059602,NA,20.08448848,16.51246614,18.50587376,20.5677175,25.98513398,16.36418516,21.84469654,21.3070497,10.2271051,24.30718067,20.24107978
ENSMUSG00000059606,NA,0,0,0,0,22.58488221,0,0,0,0.922171623,21.01658119,8.297099676
ENSMUSG00000059639,NA,0,0,1.036907533,0,0,0.868609725,0,1.024880148,1.837730638,0,0.947846525
ENSMUSG00000059645,NA,4.068949872,0,0,0,0.861182925,2.542408394,0,0.981438839,0,0,1.885418035
ENSMUSG00000059658,NA,0,0,0,0,0,0.877941749,0,4.367913431,0,2.184377763,0.885080834
ENSMUSG00000059668,NA,1.055329983,0,0,2.287473679,1106.786567,0.868681052,0,0,0.991830313,517.9639582,649.7864253
ENSMUSG00000059669,NA,47.07582549,48.19243652,39.44168564,0,0,24.07269338,59.532712,0,56.60378384,26.63517585,48.39858706
ENSMUSG00000059674,NA,12.74672301,19.72792667,9.231186541,24.87137343,21.56323844,8.665924878,16.36242702,14.58325851,12.19120973,17.83086301,19.99138188
ENSMUSG00000059689,NA,273.1247301,244.2885006,345.8305772,275.7579328,155.4225835,302.4626566,249.8528124,242.1602604,251.4645859,134.4693901,177.1908172
ENSMUSG00000059708,NA,24.32356791,44.70608205,22.21537504,49.99071424,36.62243276,29.83390565,26.39466524,73.42896612,26.83982507,24.70067716,23.92678224
ENSMUSG00000059713,NA,505.8543478,544.0316387,485.2098172,751.5835338,464.7196538,491.7286472,718.4590571,716.2384822,455.6619833,301.8739643,778.4495568
ENSMUSG00000059714,NA,545.9872321,528.398499,898.7825604,648.1445072,619.3662035,665.6975018,524.9151276,679.2280599,732.5413153,676.069014,749.3047973
ENSMUSG00000059734,NA,94.35887728,132.5524744,123.7900045,81.21307057,148.7518504,150.6223141,122.2252024,130.3997383,247.6428009,139.0606772,120.4313721
ENSMUSG00000059741,NA,0,0,0,0,1.105420622,0,1.192328002,0,8.740717778,375.7088705,151.3288249
ENSMUSG00000059742,NA,4.647510684,6.96399865,36.31469323,3.823270052,1.587771949,9.284954075,10.61526763,7.105422535,10.46468071,0,2.61077365
ENSMUSG00000059743,NA,720.8540482,2846.335644,2505.809975,865.0109,2178.129877,682.5670802,787.7291128,2184.452002,1596.072506,2456.811644,981.4603345
ENSMUSG00000059751,NA,19.72731267,9.256665715,25.96663814,13.23471831,9.622359736,9.149068736,14.60325226,29.22989528,20.21594813,9.842121312,13.23200973
ENSMUSG00000059772,NA,226.9278768,234.9678644,416.4262022,253.4121722,176.3036443,262.0004965,302.196963,256.7942197,434.7765193,172.1740007,345.4622727
ENSMUSG00000059775,NA,0,2.609720284,7.491627613,0,0,0,7.208618731,12.19312921,2.836025694,0,2.730949004
ENSMUSG00000059776,NA,2.125050053,8.779982245,16.45822917,0,7.830953796,0,0,10.52810414,9.96188972,6.331530876,14.67860888
ENSMUSG00000059791,NA,172.6798611,225.9907916,115.8743414,174.9226387,231.0740093,111.8913391,187.1330127,144.8421086,170.0491364,254.9098294,245.2595689
ENSMUSG00000059796,NA,6580.270378,7864.973008,7642.972017,4945.528002,6819.200139,7092.852894,6821.72624,7083.196481,7228.607527,9135.585188,5409.981053
ENSMUSG00000059810,NA,978.9933297,925.5235865,786.9326979,783.7168854,899.5609862,1017.768905,720.9055559,613.4598981,962.9910281,452.61845,863.4486954
ENSMUSG00000059811,NA,1147.190789,1421.028568,1315.699736,1547.695034,1335.948885,1302.750149,1324.478252,1414.57623,1518.449891,1456.104368,1572.126079
ENSMUSG00000059820,NA,399.0563166,352.1437663,344.1379227,522.7787076,467.1135846,411.7380133,470.8572827,369.0426084,358.5759851,245.2238295,493.7946223
ENSMUSG00000059824,NA,1343.717399,679.3975245,777.9351123,136.7769161,311.5566363,940.0894843,793.5618392,79.35738891,466.083305,249.775932,789.8549392
ENSMUSG00000059832,NA,0,0,0,0,22.34577715,0,0,0,0,16.16082913,12.87096205
ENSMUSG00000059834,NA,112.4204133,155.2549375,140.468516,193.164893,219.9001574,145.068498,133.2909423,124.5143851,149.5689862,141.1031027,215.5885816
ENSMUSG00000059835,NA,3.157121432,5.234497735,1.162022274,2.294073656,0.789959931,0.852273554,0.895041355,1.050991932,0,0,5.266373388
ENSMUSG00000059839,NA,157.2930882,82.26855168,148.8803673,149.4131715,76.83790914,154.4460811,197.6013905,170.7503948,174.5148722,65.4098235,127.2182841
ENSMUSG00000059842,NA,82.64629306,74.98964501,63.69849044,84.16648507,69.82958814,63.68591354,88.47134951,67.48788234,78.85754058,70.877075,84.39078148
ENSMUSG00000059851,NA,398.8901583,502.7472559,372.6447462,587.9167612,699.1944988,475.4075173,452.1393774,469.8873264,533.0406269,417.5837352,671.5267209
ENSMUSG00000059852,NA,3.209948519,8.942949411,8.184674706,7.399322643,3.089680543,7.794854096,13.53946785,1.057179073,9.185145259,2.143423578,5.190017603
ENSMUSG00000059854,NA,3.089738727,6.921253118,4.333247275,0.792535579,9.918663766,5.119321292,2.65765151,3.063772382,0,9.525437274,8.190607179
ENSMUSG00000059857,NA,5.063497338,8.917706238,29.57313639,14.20909766,5.389837239,7.054131397,7.463267444,4.105246018,12.02550735,7.469524391,6.979311324
ENSMUSG00000059866,NA,97.45385009,109.1525114,192.8502156,210.1910845,176.6372925,230.3414148,124.1628704,147.9375713,152.2106226,146.2794792,197.1102704
ENSMUSG00000059878,NA,501.5084066,505.1753483,358.2162305,557.5925542,399.8698302,468.5744556,563.9873618,482.8066646,467.8197206,407.7070713,512.8676471
ENSMUSG00000059883,NA,663.819161,645.4864937,574.9806058,640.291968,749.3321617,580.112075,635.4019372,548.9419955,524.1647857,638.5789695,625.2824218
ENSMUSG00000059890,NA,1033.869921,1275.86107,631.074659,1027.885238,1361.038526,1043.130095,1021.576069,1004.965094,731.9238995,1270.592327,1115.473172
ENSMUSG00000059895,NA,6.105474517,3.387699191,14.71361101,8.771230424,13.11939539,11.63960666,3.496830125,6.719454475,5.633326636,13.20460328,7.62787983
ENSMUSG00000059897,NA,35.335988,31.75194223,0,44.29328115,72.04289817,28.0626948,24.12436878,27.88875506,10.36488423,33.92731959,63.80254651
ENSMUSG00000059898,NA,1.032815012,3.438760939,1.997001017,0,21.0281841,2.579475864,2.721908432,4.989202978,5.44845667,48.27909813,17.25474058
ENSMUSG00000059900,NA,29.92894479,46.5414897,46.20172464,17.30586239,42.09497021,21.03295785,21.04283351,41.92178465,43.5423509,43.69101154,44.18494933
ENSMUSG00000059901,NA,2.788515047,7.192871006,1.540961389,2.721434593,11.60503337,4.67331385,5.32772479,4.692309682,3.588261397,8.259593546,8.773109682
ENSMUSG00000059912,NA,4.16680626,2.564890453,6.334848675,1.643237754,0,2.616958137,0,1.002462997,1.824274782,0,2.799760184
ENSMUSG00000059920,NA,633.9709356,508.5696603,633.4728851,530.1029437,484.6385326,479.7752826,514.141688,624.5811066,548.7170058,450.3429749,541.3882375
ENSMUSG00000059921,NA,26.95062213,24.49328617,33.05869336,24.55515501,19.0009808,26.8116999,19.15411957,25.58630106,12.53904147,21.72711464,17.25666398
ENSMUSG00000059923,NA,2181.636298,2139.252781,1576.918672,2142.847922,2248.40444,1951.840846,2085.955731,1484.115279,1717.297734,1961.235318,2305.103342
ENSMUSG00000059939,NA,51.2375344,70.0325751,52.21533015,133.6412672,133.5164157,55.32773037,80.51457003,74.6310121,81.65773745,82.5339968,108.8824295
ENSMUSG00000059956,NA,0,1.190018093,0,0,92.67350955,0,0,0,0.820945974,72.07066726,45.69107821
ENSMUSG00000059974,NA,7.32325142,16.64381246,23.51605521,13.02725037,14.80986359,15.85720138,12.38233936,6.035333223,1.406853721,11.45123199,14.42591472
ENSMUSG00000059975,NA,122.5279168,57.76060776,61.97559071,95.75805531,67.27802661,144.4083159,117.6087822,68.88553877,50.24359886,75.19195267,68.48044896
ENSMUSG00000059981,NA,862.9267112,811.3618196,590.1138218,844.6619007,1093.162425,1026.672739,800.9772248,603.5907506,713.8948098,679.2906076,1104.013595
ENSMUSG00000059991,NA,11.69820656,10.71379399,20.45516738,14.17085062,9.437804039,15.62004049,8.988154213,19.80364695,7.003141131,8.820722108,14.97569504
ENSMUSG00000059994,NA,0,1.539599811,1.816064982,1.403793291,1.395694373,0.686153638,1.690750533,1.737673302,0,2.00159798,0.732805183
ENSMUSG00000059995,NA,1423.663857,1404.763543,792.1385462,1336.454024,1385.64845,1347.374607,1225.637006,1248.42411,1234.048714,1311.298498,1325.550749
ENSMUSG00000060002,NA,3687.017994,2402.344134,2833.43233,3022.964449,1466.35217,4066.320799,3024.82965,2496.796873,3076.025078,1946.281711,3667.979813
ENSMUSG00000060012,NA,0,0,0,213.9129112,157.4950289,18.70381084,14.97603234,0,0,237.5683553,60.74940594
ENSMUSG00000060019,NA,34.48084293,33.92636369,88.82929884,23.61059483,23.99143087,40.3768305,38.74632568,36.57938763,44.4310692,25.65798038,28.21980637
ENSMUSG00000060032,NA,650.9354172,616.8262479,1021.752897,557.675596,406.4591018,602.7212491,728.5952741,784.7298854,819.6139032,453.4701951,670.7618921
ENSMUSG00000060036,NA,17885.90113,12975.80489,14069.07376,11298.9342,9058.456987,14448.37448,14699.18106,13047.67629,17221.10401,12584.67911,14236.55443
ENSMUSG00000060038,NA,263.7876445,249.7734012,355.7578302,231.894845,265.5790199,215.8446391,295.1980811,277.2611481,351.2818029,310.2850178,239.2067222
ENSMUSG00000060044,NA,7.3636008,8.708534772,2.002257435,4.811915978,8.549619584,6.036425718,13.68080542,4.010957462,8.293399028,7.038317611,0.932677
ENSMUSG00000060063,NA,13.92773146,12.57849045,30.42797997,29.26980355,19.4363857,6.771704538,17.34413444,25.60605384,23.58026185,67.06309842,15.66665789
ENSMUSG00000060073,NA,990.48923,1363.06871,1883.350315,891.5835495,1450.69548,847.8281694,1090.424811,1508.375116,1761.280531,1766.890366,993.1387315
ENSMUSG00000060081,NA,1.063730161,0,0,0,0.746851992,0,0,0,1.028596343,0,0
ENSMUSG00000060090,NA,817.4101992,804.5135177,604.7727618,1044.177981,1232.510204,842.6542325,988.7313966,852.9290897,706.9694715,1141.737799,1032.617671
ENSMUSG00000060093,NA,0,0.877549235,0,0,0.793340437,2.592970277,0,3.131937189,0,0,0
