NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6
ENSMUSG00000066900,NA,2045.903641,1816.228078,1923.099044,2090.858616,1619.088401,1404.812238,1844.560863,2133.307169,1651.07844,1931.591414,3154.713202
ENSMUSG00000066944,NA,0,0,0,0,0,0,2.315513572,0,0,1.404177846,0
ENSMUSG00000066952,NA,15.27773895,10.94721635,8.197573864,8.938354326,3.403457191,0,7.114603542,11.63568498,1.910408773,0,0.955854027
ENSMUSG00000066964,NA,1.08789997,0,0,0,0,0,2.283411578,0,0.818054988,0,0
ENSMUSG00000066975,NA,0,1.75992304,2.40096864,0,1.60654052,5.701618013,5.259391186,3.888310295,9.640293597,3.37510638,7.502572841
ENSMUSG00000066979,NA,92.46028492,0,324.7546058,0,0,0,0,0,0,15.58866143,0
ENSMUSG00000066983,NA,3.174245968,0,0,0,0.829259248,2.833404802,0.769922607,0,0,0.703835431,0.92416912
ENSMUSG00000067001,NA,0,0,0,0,3.382781092,0,0.783088886,0,0,0,1.7819433
ENSMUSG00000067006,NA,1136.564212,1220.207182,1449.478756,1200.702287,1763.975485,2029.0918,1595.455304,494.5094533,1643.16059,2303.614077,2295.331242
ENSMUSG00000067010,NA,13.23765172,43.97400787,11.47692559,16.55802055,48.74945625,58.70046138,36.01927496,46.41736704,38.77307391,57.4888221,3.581288581
ENSMUSG00000067017,NA,13.50243474,34.40951206,26.27106193,56.98425773,57.79718147,25.46796776,45.06003799,42.67632769,30.72029184,55.33515273,39.67469672
ENSMUSG00000067028,NA,0,3.472837676,4.486382385,0.331698865,3.451819021,0,0.316061929,0,0.354451217,0.289629762,0
ENSMUSG00000067038,NA,3440.882629,3478.783766,4786.16729,2367.406773,2001.002565,2538.730703,2745.544018,3373.441967,2570.200578,2711.877914,5108.806894
ENSMUSG00000067049,NA,0,1.787789528,0,0.77457494,0,0,0,1149.32412,2.513254558,0,2.730495479
ENSMUSG00000067058,NA,17.98739382,28.1611638,72.51768621,77.30951806,0,181.3379073,68.52311206,88.54505718,101.4443451,92.90627685,34.19425743
ENSMUSG00000067071,NA,1129.807657,1199.631459,1340.410432,1284.334161,888.9911281,756.9990918,1476.961038,742.2290424,975.8538189,877.8557702,1519.387076
ENSMUSG00000067081,NA,0,0.908330287,1.141679345,1.573756713,3.256200091,2.822567382,0.767831824,3.812894073,0.819473129,1.361303249,0.926041673
ENSMUSG00000067085,NA,1.058081989,0,1.115656711,0,0,0,0,1.247113481,0,0,0
ENSMUSG00000067106,NA,1.075619177,8.870911669,5.792849479,1.551611443,5.790152336,8.383064252,3.087492286,7.509576492,8.29193725,8.331406258,5.442176132
ENSMUSG00000067121,NA,5.168157708,4.380191134,5.75896288,2.36000102,4.13766052,0,3.078157988,0,2.498125709,0,0
ENSMUSG00000067148,NA,1090.072494,784.8302232,775.2483543,1018.125902,705.3787156,736.8403021,907.0154764,708.5731276,829.7790017,722.5712023,1330.140621
ENSMUSG00000067149,NA,11.23745431,2.540977734,14.62178942,1.654065055,10.67957213,14.31841385,1.623943844,2.482343351,4.444129645,4.444841642,29.38550984
ENSMUSG00000067150,NA,689.4970174,709.2939524,177.9694055,605.2076399,776.875808,904.3032407,673.6674062,643.9568652,646.2091592,729.6897151,340.9013482
